mark,surface_form,generic_equivalent,n_seen,note
Velveeta,velveeta cheese,processed cheese product,2241,
Crisco,crisco,vegetable shortening,1936,
Bisquick,bisquick,baking mix,1471,
Tabasco,tabasco sauce,hot pepper sauce,1089,
Jell-O,strawberry jello,flavored gelatin,998,
Wesson,wesson oil,vegetable oil,924,
Rice Krispies,rice krispies,puffed rice cereal,903,
Miracle Whip,miracle,salad dressing,835,
Ro-Tel,ro tel tomatoes,canned tomatoes with chiles,673,
Jell-O,lemon jello,flavored gelatin,600,
Ac'cent,accent,monosodium glutamate,588,
Dream Whip,dream whip,whipped topping mix,536,
Pet,pet milk,evaporated milk,503,
Jell-O,orange jello,flavored gelatin,492,
Crisco,crisco oil,vegetable shortening,462,
Jell-O,lime jello,flavored gelatin,435,
Philadelphia,philadelphia cream cheese,cream cheese,395,
Karo,white karo syrup,corn syrup,370,
Ro-Tel,ro tel,canned tomatoes with chiles,358,
Oreo,oreo cookies,sandwich cookie,321,
Doritos,doritos,tortilla chips,289,
Jell-O,jello,flavored gelatin,279,
Jell-O,lemon jell o,flavored gelatin,258,
Jell-O,cherry jello,flavored gelatin,249,
Jell-O,raspberry jello,flavored gelatin,230,
Bisquick,bisquick baking mix,baking mix,229,
Tabasco,tabasco,hot pepper sauce,227,
Carnation,carnation milk,evaporated milk,225,
Bisquick,bisquick mix,baking mix,209,
Cool Whip,cool whip,whipped topping,201,
Fritos,fritos,corn chips,197,
Velveeta,velveeta,processed cheese product,197,
Miracle Whip,miracle whip,salad dressing,188,
Jell-O,orange jell o,flavored gelatin,178,
Karo,white karo,corn syrup,170,
Jell-O,strawberry jell o,flavored gelatin,160,
Oreo,oreos,sandwich cookie,149,
Campbell's,campbell s cream,condensed soup,146,
Cheerios,cheerios,oat cereal,137,
Uncle Ben's,uncle ben s,converted rice,124,
Karo,light karo syrup,corn syrup,117,
Carnation,carnation,evaporated milk,103,
Uncle Ben's,uncle ben,converted rice,94,
Grape-Nuts,grape nuts,wheat and barley cereal,91,
Jell-O,apricot jello,flavored gelatin,91,
Jell-O,jell o,flavored gelatin,81,
Del Monte,del monte,canned fruit and vegetables,74,
Campbell's,campbell s tomato soup,condensed soup,66,
Jell-O,peach jello,flavored gelatin,59,
Doritos,doritos chips,tortilla chips,53,
Jell-O,lime jell o,flavored gelatin,51,
Karo,light karo,corn syrup,46,
Campbell's,campbell s,condensed soup,0,"not seen in the 200k sample, added for coverage"
Karo,karo,corn syrup,0,"not seen in the 200k sample, added for coverage"
Oreo,oreo,sandwich cookie,0,"not seen in the 200k sample, added for coverage"
Ro-Tel,rotel,canned tomatoes with chiles,0,"not seen in the 200k sample, added for coverage"
Wesson,wesson,vegetable oil,0,"not seen in the 200k sample, added for coverage"
Kahlua,kahlua,coffee liqueur,1065,"measured over dish strings, not ingredient lines"
Nutella,nutella,chocolate hazelnut spread,963,"measured over dish strings, not ingredient lines"
Hershey,hershey,milk chocolate bar,783,"measured over dish strings, not ingredient lines"
Reese's,reese,peanut butter cup,743,"measured over dish strings, not ingredient lines"
Ritz,ritz,round butter cracker,627,"measured over dish strings, not ingredient lines"
Butterfinger,butterfinger,peanut butter candy bar,571,"measured over dish strings, not ingredient lines"
Heath,heath,toffee candy bar,560,"measured over dish strings, not ingredient lines"
Chex,chex,cereal,456,"measured over dish strings, not ingredient lines"
Heath,heath bar,toffee candy bar,449,"measured over dish strings, not ingredient lines"
Twinkie,twinkie,cream-filled sponge cake,348,"measured over dish strings, not ingredient lines"
Snickers,snickers,peanut nougat candy bar,346,"measured over dish strings, not ingredient lines"
Milky Way,milky way,nougat candy bar,333,"measured over dish strings, not ingredient lines"
Almond Joy,almond joy,coconut almond candy bar,305,"measured over dish strings, not ingredient lines"
Snickers,snicker,peanut nougat candy bar,284,"measured over dish strings, not ingredient lines"
Mounds,mounds,coconut candy bar,263,"measured over dish strings, not ingredient lines"
Cracker Jack,cracker jack,caramel coated popcorn,250,"measured over dish strings, not ingredient lines"
Special K,special k,rice and wheat flake cereal,250,"measured over dish strings, not ingredient lines"
Hershey,hershey bar,milk chocolate bar,217,"measured over dish strings, not ingredient lines"
Nestle,nestle,chocolate,115,"measured over dish strings, not ingredient lines"
Baby Ruth,baby ruth,peanut caramel candy bar,98,"measured over dish strings, not ingredient lines"
Toblerone,toblerone,nougat chocolate bar,91,"measured over dish strings, not ingredient lines"
Peter Paul,peter paul,coconut candy bar,81,"measured over dish strings, not ingredient lines"
Rolo,rolo,caramel chocolate candy,71,"measured over dish strings, not ingredient lines"
Skor,skor,toffee candy bar,69,"measured over dish strings, not ingredient lines"
Reese's,reese s,peanut butter cup,65,"measured over dish strings, not ingredient lines"
Reese's,reeses,peanut butter cup,60,"measured over dish strings, not ingredient lines"
Kit Kat,kit kat,wafer candy bar,50,"measured over dish strings, not ingredient lines"
Oh Henry,oh henry,peanut caramel candy bar,39,"measured over dish strings, not ingredient lines"
Tootsie Roll,tootsie roll,chewy chocolate candy,31,"measured over dish strings, not ingredient lines"
Twinkie,twinkies,cream-filled sponge cake,20,"measured over dish strings, not ingredient lines"
Jolly Rancher,jolly rancher,hard candy,15,"measured over dish strings, not ingredient lines"
Junior Mints,junior mint,mint chocolate candy,15,"measured over dish strings, not ingredient lines"
Nestle,nestles,chocolate,7,"measured over dish strings, not ingredient lines"
Whatchamacallit,whatchamacallit,peanut butter candy bar,7,"measured over dish strings, not ingredient lines"
M&M's,m m s,candy-coated chocolate,6,"measured over dish strings, not ingredient lines"
Hershey,hershey s,milk chocolate bar,5,"measured over dish strings, not ingredient lines"
Butterfinger,butterfingers,peanut butter candy bar,4,"measured over dish strings, not ingredient lines"
Hershey,hersheys,milk chocolate bar,4,"measured over dish strings, not ingredient lines"
Cracker Jack,cracker jacks,caramel coated popcorn,1,"measured over dish strings, not ingredient lines"
Junior Mints,junior mints,mint chocolate candy,1,"measured over dish strings, not ingredient lines"
York,york peppermint pattie,mint chocolate patty,1,"measured over dish strings, not ingredient lines"
Heath,heath bars,toffee candy bar,0,"measured over dish strings, not ingredient lines"
M&M's,m and m,candy-coated chocolate,0,"measured over dish strings, not ingredient lines"
Mr. Goodbar,mr goodbar,peanut chocolate bar,0,"measured over dish strings, not ingredient lines"
Krackel,krackel,crisped rice chocolate bar,0,"measured over dish strings, not ingredient lines"
Zagnut,zagnut,peanut butter candy bar,0,"measured over dish strings, not ingredient lines"
York,york peppermint patties,mint chocolate patty,0,"measured over dish strings, not ingredient lines"
