recipe_id,position,old_label,old_raw,new_label,new_raw,display_before,display_after
acqua-pazza,2,,extra virgin olive oil,extra virgin olive oil,2 tbsp extra virgin olive oil,extra virgin olive oil,extra virgin olive oil
acqua-pazza,3,,"red onion, sliced 1cm / 1/3″ thick","red onion, sliced 1cm / 1/3″ thick","1/4 red onion, sliced 1cm / 1/3″ thick","red onion, sliced 1cm / 1/3″ thick","red onion, sliced 1cm / 1/3″ thick"
acqua-pazza,4,,"fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium) , sliced sliced 1cm / 1/3"" thick","1/2 fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium) , sliced sliced 1cm / 1/3"" thick"
acqua-pazza,6,,"garlic cloves, finely minced","garlic cloves, finely minced","2 garlic cloves, finely minced","garlic cloves, finely minced","garlic cloves, finely minced"
acqua-pazza,7,,"red cherry tomatoes, halved","red cherry tomatoes, halved","15 red cherry tomatoes, halved","red cherry tomatoes, halved","red cherry tomatoes, halved"
acqua-pazza,8,,"yellow cherry tomatoes, halved (or more red)","yellow cherry tomatoes, halved (or more red)","10 yellow cherry tomatoes, halved (or more red)","yellow cherry tomatoes, halved (or more red)","yellow cherry tomatoes, halved (or more red)"
acqua-pazza,9,,"Pinot Grigio, or other dry white wine","Pinot Grigio, or other dry white wine","1 cup Pinot Grigio, or other dry white wine","Pinot Grigio, or other dry white wine","Pinot Grigio, or other dry white wine"
acqua-pazza,10,,water,water,1.5 cups water,water,water
acqua-pazza,11,,"basil, finely sliced (keep stems), plus more for garnish","basil, finely sliced (keep stems), plus more for garnish","1 tbsp basil, finely sliced (keep stems), plus more for garnish","basil, finely sliced (keep stems), plus more for garnish","basil, finely sliced (keep stems), plus more for garnish"
acqua-pazza,12,,"parsley, finely chopped (keep stems)","parsley, finely chopped (keep stems)","1 tbsp parsley, finely chopped (keep stems)","parsley, finely chopped (keep stems)","parsley, finely chopped (keep stems)"
