recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
acqua-pazza,0,WRITE,label,"2 x 6oz halibut fillets, or other white fish, skin on, bones and scales removed",,,,,,,,"2 x 6oz halibut fillets, or other white fish, skin on, bones and scales removed"
acqua-pazza,4,WRITE,label,"1/2 fennel (medium) , sliced sliced 1cm / 1/3"" thick",1/2,1/2,1/2,1/2,,,"fennel (medium) , sliced sliced 1cm / 1/3"" thick","fennel (medium), sliced sliced 1cm / 1/3"" thick"
acqua-pazza,6,WRITE,label qty unit,"2 garlic cloves, finely minced",2,2 cloves,2,2,,cloves,"garlic cloves, finely minced","garlic, finely minced"
acqua-pazza,14,WRITE,label,"1 crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick",1,1,1,1,,,"crusty baguette , cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick","crusty baguette, cut 4 to 6 slices on a diagonal, 1cm / 1/3"" thick"
acqua-pazza,17,WRITE,label qty unit,"1 garlic clove, halved (for rubbing)",1,1 clove,1,1,,clove,"garlic clove, halved (for rubbing)","garlic, halved (for rubbing)"
aloo-gobhi,7,WRITE,quantity unit,pinch red chile powder,pinch,pinch,pinch,,,pinch,red chile powder,red chile powder
aloo-gobhi,10,WRITE,qty unit,"1 teaspoon kosher salt, plus more if needed",1 tsp,1 teaspoon,1,1,tsp,teaspoon,"kosher salt, plus more if needed","kosher salt, plus more if needed"
arkansas-style-cheese-dip,6,WRITE,label,Kosher salt,,,,,,,,Kosher salt
arkansas-style-cheese-dip,19,WRITE,label,"(American, Cheddar, Jack, or a combination)",,,,,,,,"(American, Cheddar, Jack, or a combination)"
asparagus-with-eggs-and-za-atar-halayone-w-bayd,0,WRITE,qty unit,2 tablespoons olive oil or any neutral oil,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,olive oil or any neutral oil,olive oil or any neutral oil
asparagus-with-eggs-and-za-atar-halayone-w-bayd,2,WRITE,label qty unit,"1 garlic clove, crushed",1,1 clove,1,1,,clove,"garlic clove, crushed","garlic, crushed"
asparagus-with-eggs-and-za-atar-halayone-w-bayd,4,WRITE,label,sea salt,,,,,,,,sea salt
asparagus-with-eggs-and-za-atar-halayone-w-bayd,5,WRITE,label,freshly ground black pepper,,,,,,,,freshly ground black pepper
asparagus-with-eggs-and-za-atar-halayone-w-bayd,7,WRITE,qty unit,2 teaspoons za'atar,2 tsp,2 teaspoons,2,2,tsp,teaspoons,za'atar,za'atar
asparagus-with-eggs-and-za-atar-halayone-w-bayd,8,WRITE,label,extra virgin olive oil,,,,,,,,extra virgin olive oil
baked-tofu,1,WRITE,qty unit,2 tablespoons reduced-sodium soy sauce,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,reduced-sodium soy sauce,reduced-sodium soy sauce
basic-dal,2,WRITE,qty unit,1 teaspoon ground turmeric,1 tsp,1 teaspoon,1,1,tsp,teaspoon,ground turmeric,ground turmeric
basic-dal,3,WRITE,qty unit,1 teaspoon kosher salt,1 tsp,1 teaspoon,1,1,tsp,teaspoon,kosher salt,kosher salt
basic-dal,4,WRITE,qty unit,2 tablespoons fresh lime juice (from about 1 lime),2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,fresh lime juice (from about 1 lime),fresh lime juice (from about 1 lime)
basic-dal,6,WRITE,qty unit,2 tablespoons ghee or olive oil,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,ghee or olive oil,ghee or olive oil
basic-dal,7,WRITE,qty unit,2 teaspoons cumin seeds,2 tsp,2 teaspoons,2,2,tsp,teaspoons,cumin seeds,cumin seeds
basic-dal,9,WRITE,qty unit,Pinch of red chile powder,pinch,Pinch,,,pinch,Pinch,red chile powder,red chile powder
basic-dal,10,WRITE,qty unit,"Pinch of asafetida (optional, but really great)",pinch,Pinch,,,pinch,Pinch,"asafetida (optional, but really great)","asafetida (optional, but really great)"
basic-hummus,1,WRITE,qty unit,1 teaspoon baking soda,1 tsp,1 teaspoon,1,1,tsp,teaspoon,baking soda,baking soda
basic-hummus,6,WRITE,qty unit,6½ tablespoons (100ml) ice cold water,6½ tbsp,6½ tablespoons,6½,6½,tbsp,tablespoons,ice cold water,ice cold water
basic-hummus,7,WRITE,label,Salt,,,,,,,,Salt
basic-hummus,8,WRITE,label,"Good-quality olive oil, to serve (optional)",,,,,,,,"Good-quality olive oil, to serve (optional)"
bbq-gulf-snapper,0,WRITE,label qty unit,"2 small skin-on boneless snapper fillets, 10 to 12 ounces each 2 teaspoons kosher salt, plus more for the sauce",2,2 small fillets,2,2,,small fillets,"small skin-on boneless snapper fillets, 10 to 12 ounces each","skin-on boneless snapper, 10 to 12 ounces each 2 teaspoons kosher salt, plus more for the sauce"
bbq-gulf-snapper,1,WRITE,label,Seersucker Spice Mix or Cajun seasoning,1 tbsp,1 tbsp,1,1,tbsp,tbsp,,Seersucker Spice Mix or Cajun seasoning
bbq-gulf-snapper,2,WRITE,qty unit,2 tablespoons unsalted butter,2 tbsp,2 tablespoons,2,2,tbsp,tablespoons,unsalted butter,unsalted butter
bbq-gulf-snapper,3,WRITE,qty unit,3 tablespoons olive oil,3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,olive oil,olive oil
bbq-gulf-snapper,6,WRITE,qty unit,3 tablespoons fresh lemon juice,3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,fresh lemon juice,fresh lemon juice
bbq-gulf-snapper,8,WRITE,qty unit,3 tablespoons Worcestershire sauce,3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,Worcestershire sauce,Worcestershire sauce
bbq-gulf-snapper,9,WRITE,qty unit,3 tablespoons finely chopped fresh flat-leaf parsley,3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,finely chopped fresh flat-leaf parsley,finely chopped fresh flat-leaf parsley
bbq-gulf-snapper,10,WRITE,label,"Hot sauce, such as Crystal or Tabasco, for serving",,,,,,,,"Hot sauce, such as Crystal or Tabasco, for serving"
bbq-gulf-snapper,11,WRITE,label,"kosher salt, plus more for the sauce",2 tsp,2 tsp,2,2,tsp,tsp,,"kosher salt, plus more for the sauce"
birria-tacos,6,WRITE,label,"1 small onion , roughly sliced (~tennis ball size)",1 small,1 small,1,1,small,small,"onion , roughly sliced (~tennis ball size)","onion, roughly sliced (~tennis ball size)"
birria-tacos,7,WRITE,label,"1 medium tomato , roughly sliced (180g)",1 medium,1 medium,1,1,medium,medium,"tomato , roughly sliced","tomato, roughly sliced"
birria-tacos,13,WRITE,label,"2.6 lb chuck beef , cut into 6 large pieces (or boneless beef short ribs – 3.6 lb bone-in)",2.6 lb,2.6 lb,2.6,2.6,lb,lb,"chuck beef , cut into 6 large pieces (or boneless beef short ribs – 3.6 lb bone-in)","chuck beef, cut into 6 large pieces (or boneless beef short ribs – 3.6 lb bone-in)"
birria-tacos,14,WRITE,label,"2 cups beef stock / broth , low sodium",2 cups,2 cups,2,2,cups,cups,"beef stock / broth , low sodium","beef stock / broth, low sodium"
birria-tacos,22,WRITE,label,"1 white onion , diced (Note 5)",1,1,1,1,,,"white onion , diced (Note 5)","white onion, diced (Note 5)"
birria-tacos,25,WRITE,label,"Lime wedges , optional",,,,,,,"Lime wedges , optional","Lime wedges, optional"
birria-tacos,26,WRITE,label,"salsa or hot sauce , optional",,,,,,,"salsa or hot sauce , optional","salsa or hot sauce, optional"
black-pepper-chicken,1,WRITE,qty unit,12 ounces boneless skinless chicken breast (or thighs),12 oz,12 ounces,12,12,oz,ounces,boneless skinless chicken breast (or thighs),boneless skinless chicken breast (or thighs)
black-pepper-chicken,2,WRITE,qty unit,3 tablespoons water,3 tbsp,3 tablespoons,3,3,tbsp,tablespoons,water,water
black-pepper-chicken,3,WRITE,qty unit,1 teaspoon cornstarch,1 tsp,1 teaspoon,1,1,tsp,teaspoon,cornstarch,cornstarch
black-pepper-chicken,4,WRITE,qty unit,"1 teaspoon neutral oil (such as vegetable, canola, or avocado oil)",1 tsp,1 teaspoon,1,1,tsp,teaspoon,"neutral oil (such as vegetable, canola, or avocado oil)","neutral oil (such as vegetable, canola, or avocado oil)"
black-pepper-chicken,5,WRITE,qty unit,2 teaspoons oyster sauce,2 tsp,2 teaspoons,2,2,tsp,teaspoons,oyster sauce,oyster sauce
black-pepper-chicken,6,WRITE,qty unit,1/2 teaspoon coarsely ground black pepper,1/2 tsp,1/2 teaspoon,1/2,1/2,tsp,teaspoon,coarsely ground black pepper,coarsely ground black pepper
black-pepper-chicken,9,WRITE,qty unit,1 tablespoon oyster sauce,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,oyster sauce,oyster sauce
black-pepper-chicken,10,WRITE,qty unit,1 tablespoon light soy sauce,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,light soy sauce,light soy sauce
black-pepper-chicken,11,WRITE,qty unit,1 teaspoon sugar,1 tsp,1 teaspoon,1,1,tsp,teaspoon,sugar,sugar
